Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,New_Price
Maruti Swift LDI,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,"$5,132.85 ",
Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,"$3,985.51 ",
Maruti Swift VDI,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,"$4,649.76 ",
Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,"$4,347.83 ",
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,"$4,818.84 ",
Renault KWID RXT,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,"$3,985.51 ",
Hyundai i10 Asta,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$2,500.00 ",
Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,"$9,359.90 ",
Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,"$2,717.39 ",
Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,"$19,927.54 ","$23,357.49 "
Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,"$3,321.26 ",
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,"$32,246.38 ",
Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,"$12,077.29 ",
Tata Indica V2 eLS,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,"$3,019.32 ",
Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,"$16,304.35 ",
Honda City ZX CVT,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,"$2,234.30 ",
Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,"$43,079.71 ","$59,347.83 "
Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,"$9,843.00 ",
Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,"$12,681.16 ","$14,263.29 "
Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,"$17,512.08 ",
Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,"$11,654.59 ",
Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,"$4,202.90 ",
Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,"$8,357.49 ","$20,108.70 "
Honda Brio VX AT,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,"$7,801.93 ",
Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,"$35,628.02 ",
Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,"$2,415.46 ",
Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,"$5,434.78 ",
Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,"$14,190.82 ",
Hyundai Santro Xing XL,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,"$1,570.05 ",
Maruti Swift VDI,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,"$4,528.99 ",
Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,"$5,434.78 ","$8,055.56 "
Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,"$5,821.26 ",
Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,"$3,381.64 ",
Maruti Ritz VDi,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,"$3,756.04 ",
Honda City i VTEC E,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,"$3,925.12 ",
BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,"$16,787.44 ",
Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$2,717.39 ",
Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,"$6,944.44 ",
Hyundai Santro Xing XO,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,"$2,536.23 ",
Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,"$6,038.65 ",
Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,"$19,927.54 ",
Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,"$47,801.93 ",
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,"$6,642.51 ",
Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,"$9,782.61 ",
Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,"$4,227.05 ",
Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,"$3,369.57 ",
Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,"$4,166.67 ",
Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,"$5,374.40 ",
Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,"$3,200.48 ",
Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,"$4,589.37 ",
Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,"$5,615.94 ",
Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,"$4,770.53 ","$7,789.86 "
Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,"$11,835.75 ",
Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,"$3,260.87 ",
Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,"$2,910.63 ",
Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,"$4,710.14 ","$7,741.55 "
Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,"$28,985.51 ",
Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,"$6,944.44 ",
Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,"$6,340.58 ",
Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,"$23,248.79 ","$32,608.70 "
Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,"$4,722.22 ","$6,195.65 "
Tata Nano Twist XT,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,"$2,596.62 ",
BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,"$25,060.39 ","$65,736.72 "
Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,"$4,045.89 ",
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,"$13,417.87 ",
Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,"$24,154.59 ",
Nissan Micra XV CVT,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,"$7,910.63 ","$11,485.51 "
BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,"$8,454.11 ",
Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,"$9,057.97 ","$12,028.99 "
Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,"$1,026.57 ",
Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,"$20,229.47 ",
Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,"$13,224.64 ","$17,439.61 "
Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,"$2,958.94 ",
Tata Nano XTA,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,"$3,900.97 ",
Mahindra Scorpio VLX,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,"$9,359.90 ",
Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,"$11,292.27 ",
Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,"$3,925.12 ",
Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,"$6,340.58 ",
Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,"$8,756.04 ",
Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,"$9,021.74 ",
Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,"$16,002.42 ",
Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,"$7,016.91 ",
Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,"$3,140.10 ","$5,471.01 "
Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,"$65,217.39 ","$114,782.61 "
Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,"$13,888.89 ","$16,292.27 "
Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,"$1,932.37 ",
BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,"$20,797.10 ",
Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,"$7,246.38 ",
Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,"$4,770.53 ",
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,"$21,678.74 ",
Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,"$4,468.60 ",
Maruti Swift VVT VXI,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,"$6,557.97 ",
Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,"$2,016.91 ",
Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,"$16,292.27 ",
Chevrolet Beat LT Option,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,"$3,442.03 ",
Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,"$5,736.72 ",
Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,"$11,956.52 ",
Audi RS5 Coupe,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,"$44,685.99 ","$1,545.89 "
BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,"$32,004.83 ","$73,526.57 "
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,"$28,164.25 ",
Maruti Swift VDI,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,"$7,548.31 ",
Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,"$36,231.88 ",
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,"$11,908.21 ",
Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,"$10,265.70 ",
Hyundai EON Magna Plus,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,"$5,108.70 ",
Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,"$4,227.05 ",
Datsun GO NXT,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,"$3,019.32 ",
Honda Brio S MT,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,"$2,886.47 ",
Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,"$13,586.96 ",
Honda City i DTEC V,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,"$8,586.96 ",
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,"$13,164.25 ",
Maruti Swift VXI Optional,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,"$7,487.92 ",
Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,"$9,541.06 ",
Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,"$5,338.16 ",
Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,"$16,304.35 ",
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,"$7,548.31 ",
Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,"$2,536.23 ",
BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,"$54,347.83 ",
Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,"$40,652.17 ",
Honda Brio V MT,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,"$4,408.21 ",
Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$3,321.26 ",
Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,"$51,328.50 ",
Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,"$7,850.24 ","$8,925.12 "
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,"$22,946.86 ",
Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,"$5,374.40 ",
Mini Countryman Cooper D,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,"$27,777.78 ",
Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,"$10,084.54 ",
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,"$27,717.39 ",
Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,"$1,811.59 ",
Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,"$8,321.26 ",
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,"$1,751.21 ",
BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,"$40,458.94 ","$83,900.97 "
Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,"$1,509.66 ",
Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,"$5,072.46 ",
Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,"$8,152.17 ",
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,"$38,647.34 ",
Maruti Baleno Alpha,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,"$9,057.97 ","$10,603.86 "
Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,"$5,555.56 ",
Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,"$4,879.23 ",
Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,"$12,451.69 ",
Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,"$67,343.00 ",
